Predictor variable,Categorical,Sample average
1_Temperature,false,286.87209751295006
2_Precipitation,false,2.874452247456445E-5
3_Altitude,false,150.84782608695653
4_CO2,false,0.02254279953447859
5_population,false,-6.20335592097311E13
